"","Localidad","year","empresas","telefonos","bancos","ind_turismo"
"404","EL PRAT DE LLOBREGAT",1989,6,4.21541780765082,-2,-5.2
"405","EL PRAT DE LLOBREGAT",1991,-15,2.12994665180349,1,29
"407","ELCHE/ELX",1965,-2,32.8595317725753,2,14.3
"408","ELCHE/ELX",1967,1,11.5166771554437,0,-21.1
"409","ELCHE/ELX",1969,4,35.4778028592927,1,27.1
"410","ELCHE/ELX",1971,3,19.758400444321,0,-27.8
"411","ELCHE/ELX",1973,-4,18.5449275362319,5,22
"412","ELCHE/ELX",1975,0,38.7256100542814,6,-19.5
"413","ELCHE/ELX",1977,16,17.6501692047377,10,13.8
"414","ELCHE/ELX",1979,9,16.638202247191,8,-7.69999999999999
"415","ELCHE/ELX",1981,-23,38.7202013974517,3,-40.8
"416","ELCHE/ELX",1983,57,7.00542582544768,11,-2.19999999999999
"417","ELCHE/ELX",1985,79,13.9398449397757,4,-6
"418","ELCHE/ELX",1987,9,5.39345980345996,5,1.19999999999999
"419","ELCHE/ELX",1989,31,-0.194552529182879,-1,-2.59999999999999
"420","ELCHE/ELX",1991,10,2.92830842538445,1,-6
"422","ELDA",1965,2,39.9401645474944,1,-6.7
"423","ELDA",1967,-1,14.7514698022448,0,-3.5
"424","ELDA",1969,1,26.152771308803,1,4.2
"425","ELDA",1971,-1,26.121469448034,0,6.8
"426","ELDA",1973,-1,11.8266978922717,1,-6.6
"427","ELDA",1975,0,30.4973821989529,2,-3.2
"428","ELDA",1977,5,20.8826479438315,0,0.399999999999999
"429","ELDA",1979,4,27.9455692001328,2,1.8
"430","ELDA",1981,-5,29.2347600518807,2,-4.1
"431","ELDA",1983,9,10.1866720192694,2,0.299999999999999
"432","ELDA",1985,21,8.88969851534748,3,-1
"433","ELDA",1987,8,-0.422417398578001,0,-0.6
"434","ELDA",1989,20,-0.331807299760595,-1,-0.0999999999999996
"435","ELDA",1991,1,-1.82469447956174,1,-1
"437","GANDIA",1965,3,23.7922077922078,1,-28.5
"438","GANDIA",1967,-2,24.1502308015107,1,42.8
"439","GANDIA",1969,2,13.7569714382288,0,-27.5
"440","GANDIA",1971,1,21.3935522210667,1,-7.19999999999999
"441","GANDIA",1973,-3,22.053604210011,3,30.1
"442","GANDIA",1975,5,21.2072596009225,5,124.2
"443","GANDIA",1977,2,8.79384513567174,4,-12.2
"444","GANDIA",1979,3,21.3519884419436,3,12.7
"445","GANDIA",1981,-8,25.7848236105019,3,41.2
"446","GANDIA",1983,14,89.5935040350702,11,-93.3
"447","GANDIA",1985,19,-34.1128248246144,-2,-38.1
"448","GANDIA",1987,2,-0.0877332907959802,-1,62
"449","GANDIA",1989,12,5.36441286820468,-3,-54.6
"450","GANDIA",1991,-2,1.6326994469278,2,-10
"452","GAVA",1965,0,39.4495412844037,1,-37
"453","GAVA",1967,-2,24.1776315789474,0,103.4
