;Nombre;Código NIF;Localidad;País;Código consolidación;Ultimo año disponible;"Ingresos de explotación
mil EUR
Últ. año disp."
409.;MADERAS DE LEVANTE S.A. (EXTINGUIDA);A28139277;LEGANES;ESPANA;U1;31/12/2006;1.574
410.;IBERFUEL SA;A28152890;MADRID;ESPANA;U1;31/12/2003;1.572
411.;PROMINTRA SL;B08192189;MOLINS DE REI;ESPANA;U1;31/12/2020;1.568
412.;VILLAR Y BELLIDO CONSTRUCCIONES SL;B46038907;VALENCIA;ESPANA;U1;31/12/2000;1.567
413.;CASA AMADOR SL;B15012107;FERROL;ESPANA;U1;31/12/2021;1.541
414.;INDUSTRIAL MARCF SL  (EXTINGUIDA);B28151074;MADRID;ESPANA;U1;31/12/2008;1.524
415.;ELECTROCOM SL;B28179364;MADRID;ESPANA;U1;31/12/2021;1.505
416.;CAMPING EL GARROFER SL;B58848953;SITGES;ESPANA;U1;31/12/2020;1.498
417.;EXPLOTACIONES DE PRODUCTOS LACTEOS Y ALIMENTICIOS SA  (EXTINGUIDA);A28151009;MADRID;ESPANA;U1;31/12/2015;1.489
418.;ONDARRA SOCIEDAD ANONIMA (EN LIQUIDACION);A48008981;BILBAO;ESPANA;U1;31/12/2009;1.465
